Fecha (GMT);Nivel medio (cm);Pleamar Max. (cm);Baja Mar Min. (cm);Carrera Max. (cm)
2012 03 04;3.8;10.6;-2.4;13
2012 03 05;2.1;11.4;-7;18.4
2012 03 06;4.3;12.2;-5.6;17.8
2012 03 07;5.5;15.7;-6.1;21.8
2012 03 08;2.7;12.3;-6.7;19
2012 03 09;1.8;12.3;-6.2;18.5
2012 03 10;0.9;12.4;-7.6;20
2012 03 11;-1;7.4;-10.1;17.5
2012 03 12;-0.1;11.4;-8.9;20.3
2012 03 13;5.9;16.2;-1.2;17.4
2012 03 14;10.4;17.8;3.8;14
2012 03 15;11.1;18.4;4;14.4
2012 03 16;14.1;19.5;10;9.5
2012 03 17;18.3;27.1;11.6;15.5
2012 03 18;15.6;27.8;3.9;23.9
2012 03 19;8.6;18.7;-1.1;19.8
2012 03 20;10.3;16.8;-1.3;18.1
2012 03 21;18;30.6;8.3;22.3
2012 03 22;12.4;22.9;2.7;20.2
2012 03 23;5.7;13.1;0;13.1
2012 03 24;5;13.1;-0.9;14
2012 03 25;4.7;13.1;-1.6;14.7
2012 03 26;4.8;12.8;-1.6;14.4
2012 03 27;5.6;12.3;0;12.3
2012 03 28;7;15;0.8;14.2
2012 03 29;11.1;20.8;5;15.8
2012 03 30;15.5;22.6;11.1;11.5
2012 03 31;19.4;24.7;15.3;9.4
2012 04 01;23.9;28.9;19.4;9.5
2012 04 02;29;35;25;10
2012 04 03;31.9;39.6;26.2;13.4
2012 04 04;31.7;41.2;24.9;16.3
2012 04 05;31.2;41.1;23.4;17.7
2012 04 06;30.3;39.8;21.3;18.5
2012 04 07;25;33.6;15.2;18.4
2012 04 08;17.7;26.3;9.5;16.8
2012 04 09;21.9;39.7;8.8;30.9
2012 04 10;35.1;50.8;27.9;22.9
2012 04 11;32.4;46.1;21.3;24.8
2012 04 12;33.7;46.7;26.1;20.6
2012 04 13;32.8;45.7;23.5;22.2
2012 04 14;30.4;39.4;21.4;18
2012 04 15;34.9;45.6;28.1;17.5
2012 04 16;28;39.3;17.6;21.7
2012 04 17;24.1;31.3;19.7;11.6
2012 04 18;29.9;40.8;19.1;21.7
2012 04 19;35.1;44.1;27.5;16.6
2012 04 20;29.7;37.5;22.7;14.8
2012 04 21;28.1;38.8;21.4;17.4
2012 04 22;26.4;33.6;17.1;16.5
2012 04 23;26.1;40.4;18.2;22.2
2012 04 24;23.3;32.9;13.3;19.6
2012 04 25;26.4;40.9;19.5;21.4
2012 04 26;28.7;38.2;19.1;19.1
2012 04 27;27.9;39.1;17.6;21.5
2012 04 28;35.7;50.5;29.3;21.2
2012 04 29;32.3;48.5;18.9;29.6
2012 04 30;26.8;43.1;20.7;22.4
2012 05 01;22.7;32.7;16.1;16.6
2012 05 02;21.9;29.6;16.8;12.8
2012 05 03;24.4;31.3;15.8;15.5
2012 05 04;29.1;38;21.5;16.5
2012 05 05;31.5;42.7;21.2;21.5
2012 05 06;30.6;41.9;20.5;21.4
2012 05 07;27;39.5;15.8;23.7
2012 05 08;26.5;39.3;15.5;23.8
2012 05 09;23.5;35.2;12.6;22.6
2012 05 10;19.1;29.6;9.2;20.4
2012 05 11;17.2;28.9;9.8;19.1
2012 05 12;16.3;27.2;7.2;20
2012 05 13;17.5;27.5;11;16.5
2012 05 14;21.4;28.8;15;13.8
2012 05 15;22.7;33;17.5;15.5
2012 05 16;19.8;25.3;13.7;11.6
